Title,Description,Priority,Estimate,Labels,Parent
"Project scaffold & DX","Epic: Vite/Vue/TS foundation, tooling, tokens, DX.",High,,"epic,area:scaffold",
"Scaffold Vite + Vue 3 + TS (strict)","App boots; 3-pane shell renders.",High,2,"area:scaffold,type:chore,milestone:M0","Project scaffold & DX"
"Install core deps","Pinia, GSAP, moveable, @vueuse/core.",High,1,"area:scaffold,type:chore,milestone:M0","Project scaffold & DX"
"Tooling: ESLint + Prettier, format/lint on save","pnpm lint / pnpm typecheck green.",High,2,"area:scaffold,type:chore,milestone:M0","Project scaffold & DX"
"Test runners: Vitest + Playwright","Sample unit + e2e pass in CI.",High,2,"area:scaffold,type:chore,milestone:M0","Project scaffold & DX"
"pnpm bootstrap one-command setup","Deps + Playwright browsers + git hooks.",Medium,2,"area:scaffold,type:chore,milestone:M0","Project scaffold & DX"
"README as living doc","Prerequisites, setup, test, common commands.",Medium,1,"area:scaffold,type:chore,milestone:M0","Project scaffold & DX"
"Define design tokens","Port demo CSS vars (--bg/--panel/--acc #14b8a6) + Hanken Grotesk / JetBrains Mono.",Medium,1,"area:scaffold,type:chore,milestone:M0","Project scaffold & DX"
"EditorLayout shell","Topbar / layers / canvas / inspector / timeline regions; collapsible side panels.",High,2,"area:scaffold,type:feature,milestone:M0","Project scaffold & DX"
"Core engine","Epic: framework-free src/core, TDD.",High,,"epic,area:core",
"Data model types","Keyframe, Track, SceneElement (+baseTransform), AnimationDocument, EasingName + export-mode map.",High,2,"area:core,type:feature,milestone:M0","Core engine"
"valueAt(track, t) numeric interpolation","Single source of truth; clamp before first / after last; eased lerp. Test-first.",High,3,"area:core,type:feature,milestone:M0","Core engine"
"Cubic-bezier easing solver","Newton + bisection, memoised by control points.",High,2,"area:core,type:feature,milestone:M0","Core engine"
"Color interpolation","Hex parse (#rgb/#rrggbb) + channel mix at eased t.",High,2,"area:core,type:feature,milestone:M2","Core engine"
"Transform composition","Canonical translate -> rotate(center) -> scale; consistent in editor + export.",High,2,"area:core,type:feature,milestone:M2","Core engine"
"Filter value model","Per-filter css emitters (blur/brightness/contrast/saturate/grayscale/sepia/invert/hue) + drop-shadow {x,y,color} params.",Medium,3,"area:core,type:feature,milestone:M4","Core engine"
"Sampling utilities","Collect keyframe times; value-at-time for export.",Medium,2,"area:core,type:feature,milestone:M5","Core engine"
"SVG import & processing","Epic: parse, tag, sample, load.",High,,"epic,area:import",
"processSVG pipeline","DOMParser; tag whitelist; stable data-anim-id; friendly label; viewBox extraction.",High,3,"area:import,type:feature,milestone:M1","SVG import & processing"
"Element metadata capture","bbox center (getBBox) + path length (getTotalLength) for origin + stroke draw.",High,2,"area:import,type:feature,milestone:M1","SVG import & processing"
"Import overlay","Modal: drag-drop zone, browse .svg, explanatory copy.",High,3,"area:import,type:feature,milestone:M1","SVG import & processing"
"File read -> document","FileReader; reset tracks/selection/time; select first element.",High,2,"area:import,type:feature,milestone:M1","SVG import & processing"
"Load sample animation","Built-in sample SVG + preset tracks (demo loader scene).",Medium,2,"area:import,type:feature,milestone:M1","SVG import & processing"
"Import validation & errors","Reject non-SVG; surface friendly message.",Medium,2,"area:import,type:feature,milestone:M1","SVG import & processing"
